procedure,data_size,library,name,mean_ns,lower_bound_ns,upper_bound_ns,data_type
serialize,1,msgpack-c,serialize string(1) with msgpack-c,38.0221,37.9738,38.0774,string
parse,1,msgpack-c,parse string(1) with msgpack-c,15.8002,15.7796,15.8338,string
deserialize,1,msgpack-c,deserialize string(1) with msgpack-c,74.9438,73.3746,82.3463,string
serialize,1024,msgpack-c,serialize string(1024) with msgpack-c,53.6629,53.128,56.2408,string
parse,1024,msgpack-c,parse string(1024) with msgpack-c,17.6052,17.6015,17.6145,string
deserialize,1024,msgpack-c,deserialize string(1024) with msgpack-c,104.415,102.443,109.726,string
serialize,1048576,msgpack-c,serialize string(1048576) with msgpack-c,62594,62206.9,63601.8,string
parse,1048576,msgpack-c,parse string(1048576) with msgpack-c,16.9625,16.94,17.0268,string
deserialize,1048576,msgpack-c,deserialize string(1048576) with msgpack-c,33276.6,32237,36395.6,string
serialize,1,protobuf,serialize string(1) with protobuf,39.175,38.4411,41.0752,string
deserialize,1,protobuf,deserialize string(1) with protobuf,41.3026,41.2493,41.3748,string
serialize,1024,protobuf,serialize string(1024) with protobuf,138.743,137.716,143.547,string
deserialize,1024,protobuf,deserialize string(1024) with protobuf,129.543,128.804,132.901,string
serialize,1048576,protobuf,serialize string(1048576) with protobuf,134464,132832,139548,string
deserialize,1048576,protobuf,deserialize string(1048576) with protobuf,110076,109397,111525,string
serialize,1,nlohmann/json,serialize string(1) with nlohmann/json,88.2194,86.5438,92.5098,string
deserialize,1,nlohmann/json,deserialize string(1) with nlohmann/json,114.759,110.138,126.84,string
serialize,1024,nlohmann/json,serialize string(1024) with nlohmann/json,3551.04,3547.92,3563.34,string
deserialize,1024,nlohmann/json,deserialize string(1024) with nlohmann/json,5363.77,5348.73,5425.35,string
serialize,1048576,nlohmann/json,serialize string(1048576) with nlohmann/json,3.67941e+06,3.67028e+06,3.69899e+06,string
deserialize,1048576,nlohmann/json,deserialize string(1048576) with nlohmann/json,5.24387e+06,5.22846e+06,5.27184e+06,string
serialize,1,rapidjson,serialize string(1) with rapidjson,43.8045,43.7819,43.8418,string
deserialize,1,rapidjson,deserialize string(1) with rapidjson,74.5051,72.2419,80.2236,string
serialize,1024,rapidjson,serialize string(1024) with rapidjson,1271.04,1270.22,1272.63,string
deserialize,1024,rapidjson,deserialize string(1024) with rapidjson,2053.01,2047.98,2072.6,string
serialize,1048576,rapidjson,serialize string(1048576) with rapidjson,1.34383e+06,1.34043e+06,1.34873e+06,string
deserialize,1048576,rapidjson,deserialize string(1048576) with rapidjson,1.92924e+06,1.91719e+06,1.96299e+06,string
serialize,1,msgpack-c,serialize double[1] with msgpack-c,39.7115,39.6635,39.8033,double
parse,1,msgpack-c,parse double[1] with msgpack-c,21.1748,20.7323,22.2967,double
deserialize,1,msgpack-c,deserialize double[1] with msgpack-c,96.6224,94.8774,101.165,double
serialize,1024,msgpack-c,serialize double[1024] with msgpack-c,1649.93,1618.49,1729.2,double
parse,1024,msgpack-c,parse double[1024] with msgpack-c,4428.73,4425.03,4442.97,double
deserialize,1024,msgpack-c,deserialize double[1024] with msgpack-c,6771.57,6761.46,6818.85,double
serialize,1048576,msgpack-c,serialize double[1048576] with msgpack-c,2.51282e+06,2.50664e+06,2.52142e+06,double
parse,1048576,msgpack-c,parse double[1048576] with msgpack-c,4.6919e+06,4.66598e+06,4.72731e+06,double
deserialize,1048576,msgpack-c,deserialize double[1048576] with msgpack-c,1.42692e+07,1.41848e+07,1.43838e+07,double
serialize,1,protobuf,serialize double[1] with protobuf,31.5433,31.4527,31.7272,double
deserialize,1,protobuf,deserialize double[1] with protobuf,94.0998,92.291,98.7928,double
serialize,1024,protobuf,serialize double[1024] with protobuf,436.967,432.685,458.108,double
deserialize,1024,protobuf,deserialize double[1024] with protobuf,423.549,423.103,425.248,double
serialize,1048576,protobuf,serialize double[1048576] with protobuf,1.61313e+06,1.60823e+06,1.6215e+06,double
deserialize,1048576,protobuf,deserialize double[1048576] with protobuf,1.41515e+06,1.41045e+06,1.42196e+06,double
serialize,1,nlohmann/json,serialize double[1] with nlohmann/json,217.448,216.535,221.54,double
deserialize,1,nlohmann/json,deserialize double[1] with nlohmann/json,488.348,487.763,490.395,double
serialize,1024,nlohmann/json,serialize double[1024] with nlohmann/json,108642,108285,110296,double
deserialize,1024,nlohmann/json,deserialize double[1024] with nlohmann/json,255499,254881,256526,double
serialize,1,rapidjson,serialize double[1] with rapidjson,164.448,164.209,165.028,double
deserialize,1,rapidjson,deserialize double[1] with rapidjson,119.974,119.798,120.45,double
serialize,1024,rapidjson,serialize double[1024] with rapidjson,78700.1,77322.9,80987.7,double
deserialize,1024,rapidjson,deserialize double[1024] with rapidjson,35565.4,35242,36430.5,double
serialize,1,msgpack-c,serialize struct with msgpack-c,84.2334,83.5211,86.9001,struct
parse,1,msgpack-c,parse struct with msgpack-c,29.2503,28.6961,30.6878,struct
deserialize,1,msgpack-c,deserialize struct with msgpack-c,131.775,131.01,134.563,struct
serialize,1,protobuf,serialize struct with protobuf,114.346,113.429,118.003,struct
deserialize,1,protobuf,deserialize struct with protobuf,75.7672,74.9778,79.525,struct
serialize,1,nlohmann/json,serialize struct with nlohmann/json,33224.8,33121.9,33512.6,struct
deserialize,1,nlohmann/json,deserialize struct with nlohmann/json,83770.6,83453.6,84584.7,struct
serialize,1,rapidjson,serialize struct with rapidjson,14665.6,14420.3,15287.5,struct
deserialize,1,rapidjson,deserialize struct with rapidjson,14752.2,14709.6,14882.7,struct
