Protocol,Data Size [byte],Mean Time [sec],Max Time [sec],Min Time [sec]
light_stream,32,7.895699999999995e-07,2.492e-06,7.2e-07
light_stream,1024,1.0843599999999997e-06,1.509e-06,7.68e-07
light_stream,32768,4.712599999999998e-06,5.399e-06,3.845e-06
light_stream,1048576,0.00012108776000000001,0.00016555,6.7928e-05
blocking_stream,32,5.377800000000002e-06,5.516e-06,5.296e-06
blocking_stream,1024,5.857689999999999e-06,7.174e-06,5.371e-06
blocking_stream,32768,9.62041e-06,1.0542e-05,8.788e-06
blocking_stream,1048576,0.00011000688000000004,0.000121693,7.4393e-05
UDPv4,32,8.951170000000005e-06,9.364e-06,8.682e-06
UDPv4,1024,9.151299999999997e-06,9.526e-06,8.794e-06
UDPv4,32768,1.5708579999999993e-05,1.5973e-05,1.552e-05
UDPv6,32,9.12509e-06,9.808e-06,8.807e-06
UDPv6,1024,9.372079999999998e-06,9.682e-06,9.042e-06
UDPv6,32768,1.5201710000000003e-05,1.5528e-05,1.5002e-05
