Protocol,Data Size [byte],Mean Time [sec],Max Time [sec],Min Time [sec]
light_stream,32,8.660999999999999e-08,8.26e-07,2.3e-08
light_stream,1024,7.975000000000009e-08,1.61e-07,6.9e-08
light_stream,32768,8.688299999999999e-07,1.046e-06,8.05e-07
light_stream,1048576,3.188775999999999e-05,3.2731e-05,3.1026e-05
blocking_stream,32,6.804700000000003e-07,1.133e-06,6.13e-07
blocking_stream,1024,7.282500000000004e-07,2.145e-06,6.62e-07
blocking_stream,32768,1.3381000000000008e-06,1.77e-06,1.229e-06
blocking_stream,1048576,3.157582999999999e-05,5.2469e-05,3.0364e-05
UDPv4,32,1.8729300000000005e-06,2.055e-06,1.828e-06
UDPv4,1024,1.90928e-06,2.009e-06,1.842e-06
UDPv4,32768,4.83873e-06,5.549e-06,4.27e-06
UDPv6,32,1.952530000000001e-06,2.46e-06,1.9e-06
UDPv6,1024,2.1468900000000003e-06,4.698e-06,2.049e-06
UDPv6,32768,4.794109999999999e-06,5.423e-06,3.234e-06
