procedure,data_size,library,name,mean_ns,lower_bound_ns,upper_bound_ns,data_type
serialize,1,msgpack-c,serialize string(1) with msgpack-c,50.3317,49.9179,51.949,string
parse,1,msgpack-c,parse string(1) with msgpack-c,19.4709,19.3685,19.6101,string
deserialize,1,msgpack-c,deserialize string(1) with msgpack-c,99.1537,98.8799,99.829,string
serialize,32,msgpack-c,serialize string(32) with msgpack-c,45.7857,45.5145,46.6136,string
parse,32,msgpack-c,parse string(32) with msgpack-c,20.995,20.9518,21.1126,string
deserialize,32,msgpack-c,deserialize string(32) with msgpack-c,103.516,103.175,104.254,string
serialize,1024,msgpack-c,serialize string(1024) with msgpack-c,60.6218,59.8741,64.0066,string
parse,1024,msgpack-c,parse string(1024) with msgpack-c,20.3232,20.2656,20.4353,string
deserialize,1024,msgpack-c,deserialize string(1024) with msgpack-c,111.91,107.106,121.741,string
serialize,32768,msgpack-c,serialize string(32768) with msgpack-c,1557.53,1541.85,1625.33,string
parse,32768,msgpack-c,parse string(32768) with msgpack-c,24.0431,22.767,26.8589,string
deserialize,32768,msgpack-c,deserialize string(32768) with msgpack-c,108.349,108.004,109.231,string
serialize,1,protobuf,serialize string(1) with protobuf,39.942,39.8255,40.233,string
deserialize,1,protobuf,deserialize string(1) with protobuf,102.305,100.36,105.703,string
serialize,32,protobuf,serialize string(32) with protobuf,72.284,71.923,73.0072,string
deserialize,32,protobuf,deserialize string(32) with protobuf,62.9721,62.729,63.5152,string
serialize,1024,protobuf,serialize string(1024) with protobuf,151.373,150.226,155.357,string
deserialize,1024,protobuf,deserialize string(1024) with protobuf,347.541,346.476,349.417,string
serialize,32768,protobuf,serialize string(32768) with protobuf,6133.78,6063.27,6245.64,string
deserialize,32768,protobuf,deserialize string(32768) with protobuf,2653.72,2628.9,2713.52,string
serialize,1,cereal,serialize string(1) with cereal,64.7226,64.4917,65.2732,string
deserialize,1,cereal,deserialize string(1) with cereal,55.5859,55.4379,55.9362,string
serialize,32,cereal,serialize string(32) with cereal,120.2,115.049,130.351,string
deserialize,32,cereal,deserialize string(32) with cereal,83.9725,83.4359,86.0595,string
serialize,1024,cereal,serialize string(1024) with cereal,386.654,382.467,403.358,string
deserialize,1024,cereal,deserialize string(1024) with cereal,138.548,137.18,144.807,string
serialize,32768,cereal,serialize string(32768) with cereal,3295.21,3230.32,3465.89,string
deserialize,32768,cereal,deserialize string(32768) with cereal,1788.2,1768.95,1874.74,string
serialize,1,nlohmann/json,serialize string(1) with nlohmann/json,90.3383,88.5736,95.5902,string
deserialize,1,nlohmann/json,deserialize string(1) with nlohmann/json,129.151,124.453,138.365,string
serialize,32,nlohmann/json,serialize string(32) with nlohmann/json,233.665,232.261,238.081,string
deserialize,32,nlohmann/json,deserialize string(32) with nlohmann/json,394.142,375.489,450.621,string
serialize,1024,nlohmann/json,serialize string(1024) with nlohmann/json,4145.75,4130.13,4197.72,string
deserialize,1024,nlohmann/json,deserialize string(1024) with nlohmann/json,5963.22,5929.33,6088.86,string
serialize,32768,nlohmann/json,serialize string(32768) with nlohmann/json,125688,124715,127475,string
deserialize,32768,nlohmann/json,deserialize string(32768) with nlohmann/json,185392,183815,187551,string
serialize,1,rapidjson,serialize string(1) with rapidjson,72.929,72.7731,73.3448,string
deserialize,1,rapidjson,deserialize string(1) with rapidjson,113.596,109.008,125.889,string
serialize,32,rapidjson,serialize string(32) with rapidjson,99.5486,99.2878,100.176,string
deserialize,32,rapidjson,deserialize string(32) with rapidjson,232.131,231.192,234.678,string
serialize,1024,rapidjson,serialize string(1024) with rapidjson,1385.26,1381.54,1393.13,string
deserialize,1024,rapidjson,deserialize string(1024) with rapidjson,2314.29,2207.86,2491.56,string
serialize,32768,rapidjson,serialize string(32768) with rapidjson,41983.6,40811.3,44374.6,string
deserialize,32768,rapidjson,deserialize string(32768) with rapidjson,62796.4,61910.9,64489.6,string
deserialize,1,simdjson,deserialize string(1) with simdjson,153.933,152.958,157.221,string
deserialize,32,simdjson,deserialize string(32) with simdjson,153.232,152.268,156.747,string
deserialize,1024,simdjson,deserialize string(1024) with simdjson,446.327,440.892,471.95,string
deserialize,32768,simdjson,deserialize string(32768) with simdjson,8074.74,7733.4,8659.16,string
serialize,1,yyjson,serialize string(1) with yyjson,52.9079,52.5667,53.7708,string
deserialize,1,yyjson,deserialize string(1) with yyjson,42.5608,40.6112,47.5263,string
serialize,32,yyjson,serialize string(32) with yyjson,93.7909,89.5855,103.541,string
deserialize,32,yyjson,deserialize string(32) with yyjson,63.1981,60.2394,70.8619,string
serialize,1024,yyjson,serialize string(1024) with yyjson,554.387,551.464,562.095,string
deserialize,1024,yyjson,deserialize string(1024) with yyjson,414.514,412.078,423.434,string
serialize,32768,yyjson,serialize string(32768) with yyjson,13123.9,12793.1,13954.7,string
deserialize,32768,yyjson,deserialize string(32768) with yyjson,13342.1,13214.5,13771,string
serialize,1,msgpack-c,serialize int[1] with msgpack-c,46.8364,46.7376,47.0694,int
parse,1,msgpack-c,parse int[1] with msgpack-c,25.8974,25.8296,26.0123,int
deserialize,1,msgpack-c,deserialize int[1] with msgpack-c,141.019,140.614,142.012,int
serialize,32,msgpack-c,serialize int[32] with msgpack-c,170.195,169.604,171.542,int
parse,32,msgpack-c,parse int[32] with msgpack-c,167.952,167.639,168.811,int
deserialize,32,msgpack-c,deserialize int[32] with msgpack-c,375.804,374.43,378.438,int
serialize,1024,msgpack-c,serialize int[1024] with msgpack-c,4090.84,4077.04,4116.52,int
parse,1024,msgpack-c,parse int[1024] with msgpack-c,4384.39,4375.08,4406.63,int
deserialize,1024,msgpack-c,deserialize int[1024] with msgpack-c,7734.61,7712.69,7785.33,int
serialize,32768,msgpack-c,serialize int[32768] with msgpack-c,268819,266913,272734,int
parse,32768,msgpack-c,parse int[32768] with msgpack-c,143641,143232,144268,int
deserialize,32768,msgpack-c,deserialize int[32768] with msgpack-c,246131,244630,248239,int
serialize,1,protobuf,serialize int[1] with protobuf,24.3362,23.7772,25.7582,int
deserialize,1,protobuf,deserialize int[1] with protobuf,113.298,112.819,114.732,int
serialize,32,protobuf,serialize int[32] with protobuf,207.782,207.305,208.978,int
deserialize,32,protobuf,deserialize int[32] with protobuf,306.79,305.476,311.231,int
serialize,1024,protobuf,serialize int[1024] with protobuf,6394,5940.85,7084.34,int
deserialize,1024,protobuf,deserialize int[1024] with protobuf,4536.69,4457.28,4738.94,int
serialize,32768,protobuf,serialize int[32768] with protobuf,172463,169720,176748,int
deserialize,32768,protobuf,deserialize int[32768] with protobuf,157810,152221,165001,int
serialize,1,cereal,serialize int[1] with cereal,66.802,66.602,67.3329,int
